artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,pos
Myrath,Desert Call,Desert Call,Album,2010-01-25,Forever and a Day (05:38)/Tempests of Sorrows (04:40)/Desert Call (07:43)/Madness (06:16)/Silent Cries (10:43)/Memories (04:51)/Ironic Destiny (05:42)/No Turning Back (05:36)/Empty World (07:04)/Shockwave (07:15)/Hard Times (08:02,https://i.scdn.co/image/ab67616d00001e02d1eeb8071261bd5ca419ae38,Progressive Metal/Folk Metal/Power Metal/Symphonic Metal/Melodic Metal,Myrath,54.0
Korekyojinn,Abandoned,Tundra,Album,2011-08-09,Swan Dive (08:11)/Tundra (06:37)/Upstream (04:56)/Vanishing Point (06:08)/Watershed (07:47)/Xenon (07:37)/Yellow Jacket (04:34)/Zebra Crossing (01:54)/Abandoned (06:53,https://i.scdn.co/image/ab67616d00001e020355d7334bbfd51056eb5f90,Avant-garde/Math Rock/Krautrock/Progressive Rock,Korekyojinn,151.0
John Coltrane,"A Love Supreme, Pt. I – Acknowledgement - Live",A Love Supreme: Live In Seattle,Album,2021-10-22,"A Love Supreme, Pt. I – Acknowledgement - Live (21:53)/Interlude 1 - Live (02:28)/A Love Supreme, Pt. II – Resolution - Live (11:05)/Interlude 2 - Live (06:23)/A Love Supreme, Pt. III – Pursuance - Live (15:27)/Interlude 3 - Live (06:31)/Interlude 4 - Live (04:20)/A Love Supreme, Pt. IV - Psalm - Live (07:21",https://i.scdn.co/image/ab67616d00001e02ab152bc5ac7e515235771075,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues,"Coltrane, John",0.0
Maxophone,Mercanti Di Pazzie,Maxophone - Ita Version,Album,2009-11-09,C'è Un Paese Al Mondo (06:38)/Fase (07:05)/Al Mancato Compleanno Di Una Farfalla (05:52)/Elzeviro (06:47)/Mercanti Di Pazzie (05:50)/Antiche Conclusioni Negre (08:55)/Il Fischio Del Vapore (04:54)/Cono Di Gelato (04:41,https://i.scdn.co/image/ab67616d00001e02e56ccce1e08d8b7ad5586b19,Progressive Rock/Krautrock/Art Rock,Maxophone,106.0
Ruins,0' 33,Hyderomastgroningem,Album,1995-05-23,Hyderomastgroningem (01:26)/Brixon Varromiks (09:41)/0' 33 (00:34)/Economic Mond Possa (02:02)/Pig Brag Crak (02:22)/Prrifth (05:18)/Pontemcorary Music #1 (02:40)/Zurna Taksim (00:35)/Comme A La Radio (00:38)/Gravestone (03:19)/Memories Of Zworrisdeh (05:25)/Skyscraper (02:18)/Dolnnen Vlast (02:46)/Stone Eater (04:19)/Pontemcorary Music #2 (01:43)/Del Fanci Kant (07:34)/Bonze From Hell (00:33)/Speed Ball (02:49)/Ordinary People In Idaho (04:02)/Bliezzaning Moltz (06:52,https://i.scdn.co/image/ab67616d00001e023215e18bc36b97e18121830e,Noise Rock/Math Rock/Avant-garde/Progressive Rock/Experimental,Ruins,53.0
The Band,Ophelia - Remastered 2000,Northern Lights-Southern Cross (Expanded Edition),Album,1975-11-01,Forbidden Fruit - Remastered 2001 (05:59)/Hobo Jungle - Remastered 2001 (04:15)/Ophelia - Remastered 2000 (03:32)/Acadian Driftwood - Remastered 2000 (06:42)/Ring Your Bell - Remastered 2001 (03:55)/It Makes No Difference - Remastered 2000 (06:34)/Jupiter Hollow - Remastered 2001 (05:20)/Rags And Bones - Remastered 2001 (04:45)/Twilight - Early Alternate Version/Remastered 2001 (03:13)/Christmas Must Be Tonight - Alternate Version/Remastered 2001 (03:01,https://i.scdn.co/image/ab67616d00001e022974b64fbb5cdeb32911f132,Folk Rock/Roots Rock/Southern Rock/Americana,"Band, The",80.0
Creedence Clearwater Revival,Ramble Tamble,Cosmo's Factory (Expanded Edition),Album,1970-07-25,Ramble Tamble (07:11)/Before You Accuse Me (03:26)/Travelin' Band (02:07)/Ooby Dooby (02:07)/Lookin' Out My Back Door (02:32)/Run Through The Jungle (03:04)/Up Around The Bend (02:41)/My Baby Left Me (02:18)/Who'll Stop The Rain (02:27)/I Heard It Through The Grapevine (11:02)/Long As I Can See The Light (03:30)/Travelin' Band - Remake Take (02:15)/Up Around The Bend - Live In Amsterdam 9-10-71 (02:41)/Born On The Bayou - At Fantasy Studios (05:58,https://i.scdn.co/image/ab67616d00001e0261834aa14b97a7d9c693134f,Classic Rock/Southern Rock/Country Rock,Creedence Clearwater Revival,0.0
Yes,Going for the One - 2003 Remaster,Going for the One (Deluxe Edition),Album,1977,Going for the One - 2003 Remaster (05:31)/Turn of the Century - 2003 Remaster (07:55)/Parallels - 2003 Remaster (05:53)/Wonderous Stories - 2013 Remaster (03:49)/Awaken - 2003 Remaster (15:31)/Montreux's Theme - 2003 Remaster (02:33)/Vevey (Revisited) - 2003 Remaster (04:42)/Amazing Grace - 2003 Remaster (02:31)/Going for the One - Rehearsal; 2003 Remaster (05:07)/Parallels - Rehearsal (06:17)/Turn of the Century - Rehearsal; 2003 Remaster (06:54)/Eastern Numbers - Early Version of Awaken; 2003 Remaster (12:16,https://i.scdn.co/image/ab67616d00001e02370f0969aca636b22cc98eed,Progressive Rock/Symphonic Rock/Art Rock/Album Rock,Yes,0.0
Arti & Mestieri,Nove luna prima,Giro di valzer per domani,Album,1975,"Valzer per domani (02:16)/Mirafiori (05:59)/Saper sentire (04:32)/Nove luna prima (00:53)/Mescal (05:15)/Mescalero (01:12)/Nove lune dopo (02:38)/Dimensione terra (01:33)/Aria pesante (03:55)/Consapevolezza, Pt. 1 (03:24)/Sagra (03:05)/Consapevolezza, Pt. 2 (01:13)/Rinuncia (02:53)/Marilyn (02:44)/Terminal (02:21",https://i.scdn.co/image/ab67616d00001e02a36a08912d141d4dfae765bd,Progressive Rock/Jazz Fusion/Krautrock/Art Rock,Arti & Mestieri,66.0
Jethro Tull,Living in the Past - 2001 Remaster,Stand Up,Album,1969-08-01,A New Day Yesterday (04:08)/Jeffrey Goes to Leicester Square (02:12)/Bourée (03:45)/Back to the Family (03:53)/Look into the Sun (04:23)/Nothing Is Easy (04:24)/Fat Man (02:50)/We Used to Know (04:03)/Reasons for Waiting (04:07)/For a Thousand Mothers (04:21)/Living in the Past - 2001 Remaster (03:22)/Driving Song - 2001 Remaster (02:44)/Sweet Dream - 2001 Remaster (04:03)/17 - 2001 Remaster (03:07,https://i.scdn.co/image/ab67616d00001e0201760906028d3ea549f10a8c,Progressive Rock/Symphonic Rock/Art Rock/Classic Rock,Jethro Tull,260.0
Rabih Abou-Khalil,Grateful Parting,Yara,Album,1998-01-01,Requiem (06:52)/Imminent Journey (01:21)/A Gracious Man (04:59)/On A Bus (04:20)/Grateful Parting (07:12)/The Passage Of Life (04:07)/Through The Window (05:47)/Lithe Dream (05:43)/Puppet Master (03:47)/Bint El Bahr (06:52)/The End Of Faith (02:17)/The Knowledge Of A Child (02:22,https://i.scdn.co/image/ab67616d00001e02c6aa256a13bdf1166e120ad3,,"Abou-Khalil, Rabih",81.0
Maurice Ravel,"Ravel: Ma mère l'Oye, M. 60: V. Le jardin féerique","Ravel: La Valse, Ma Mère l'Oye, Valses nobles et sentimentales & Daphnis et Chloé Suite No. 2",Album,2009-10-30,"Ravel: Suite No. 2 from Daphnis et Chloé, M. 57: I. Lever du jour (05:35)/Ravel: Suite No. 2 from Daphnis et Chloé, M. 57: II. Pantomime (06:45)/Ravel: Suite No. 2 from Daphnis et Chloé, M. 57: III. Danse générale (03:30)/Ravel: Valses nobles et sentimentales, M. 61: No. 1, Modéré, très franc (01:14)/Ravel: Valses nobles et sentimentales, M. 61: No. 2, Assez lent, avec une expression intense (02:38)/Ravel: Valses nobles et sentimentales, M. 61: No. 3, Modéré (01:53)/Ravel: Valses nobles et sentimentales, M. 61: No. 4, Assez animé (01:16)/Ravel: Valses nobles et sentimentales, M. 61: No. 5, Presque lent, dans un sentiment intime (01:27)/Ravel: Valses nobles et sentimentales, M. 61: No. 6, Vif (00:51)/Ravel: Valses nobles et sentimentales, M. 61: No. 7, Moins vif (02:53)/Ravel: Valses nobles et sentimentales, M. 61: No. 8, Épilogue. Lent (04:27)/Ravel: La Valse, M. 72 (12:27)/Ravel: Ma mère l'Oye, M. 60: I. Pavane de la Belle au bois dormant (01:52)/Ravel: Ma mère l'Oye, M. 60: II. Petit Poucet (03:26)/Ravel: Ma mère l'Oye, M. 60: III. Laideronnette, impératrice des pagodes (03:28)/Ravel: Ma mère l'Oye, M. 60: IV. Les entretiens de la Belle et de la Bête (04:28)/Ravel: Ma mère l'Oye, M. 60: V. Le jardin féerique (03:45",https://i.scdn.co/image/ab67616d00001e0261d1399ecfcd3b39360e6ac7,Classical/Classical Piano/Neoclassical,"Ravel, Maurice",1179.0
Nikolai Rimsky-Korsakov,"Russian Easter Festival, Overture, Op. 36","Tchaikovsky: Overture ""1812""; Marche slave / Borodin: In the Steppes; Polovtsian Dances / Rimsky-Korsakov: Russian Easter; Capriccio",Album,1990-01-01,"Overture 1812, Op. 49, TH 49 (16:20)/Slavonic March, Op. 31: Moderato in modo di marcia funebre - Andante molto maestoso - Allegro risoluto (09:49)/Eine Steppenskizze aus Mittelasien: Allegretto con moto (07:27)/Polovtsian Dances From ""Prince Igor"" (11:30)/Russian Easter Festival, Overture, Op. 36 (15:04)/Capriccio Espagnol, Op. 34 (15:59",https://i.scdn.co/image/ab67616d00001e02d1ac9ce19a247ee1a5eebfbb,Classical/Orchestra,"Rimsky-Korsakov, Nikolai",257.0
Nina Simone,Suzanne,To Love Somebody (Expanded Edition),Album,1969,"Suzanne (04:19)/Turn, Turn, Turn (To Everything There Is a Season) (03:39)/Revolution (Pt. 1) (02:50)/Revolution (Pt. 2) (01:52)/To Love Somebody (02:38)/I Shall Be Released (03:53)/I Can't See Nobody (03:06)/Just Like Tom Thumb's Blues (04:48)/The Times They Are A-Changin' (05:55)/Suzanne - alternate version (05:11)/Turn, Turn Turn (To Everything There Is a Season) - alternate version (02:24)/Revolution - Live in Munich, Germany - April 1969 (06:27)/Save Me - Live in Munich, Germany - April 1969 (03:33)/The Glory of Love (02:09)/Cosi ti amo - ""To Love Somebody"" Italian version (02:32",https://i.scdn.co/image/ab67616d00001e02d443fe6c1b51189c885c8bb8,Vocal Jazz/Jazz Blues/Soul Jazz/Soul/Jazz/Blues,"Simone, Nina",0.0
Mick Jagger,Too Far Gone,Goddess In The Doorway,Album,2001-11-19,Visions Of Paradise (04:01)/Joy (04:40)/Dancing In The Starlight (04:06)/God Gave Me Everything (03:34)/Hide Away (04:33)/Don't Call Me Up (05:14)/Goddess In The Doorway (04:56)/Lucky Day (04:51)/Everybody Getting High (03:56)/Gun (04:40)/Too Far Gone (04:36)/Brand New Set Of Rules (03:44)/Goddess In The Doorway - Cocktail Version (01:05,https://i.scdn.co/image/ab67616d00001e02a196f9a07530702c5230a896,,"Jagger, Mick",239.0
Mick Jagger,Lonely At The Top,She's The Boss,Album,1985-02-19,Lonely At The Top (03:46)/1/2 A Loaf (04:58)/Running Out Of Luck (04:20)/Turn The Girl Loose (03:55)/Hard Woman (04:27)/Just Another Night (05:15)/Lucky In Love (06:13)/Secrets (05:03)/She's The Boss (05:15,https://i.scdn.co/image/ab67616d00001e02ddd7bf3128402ae651f5f485,,"Jagger, Mick",0.0
Golden Earring,The Wall Of Dolls,Golden Earring,Album,1970,Yellow And Blue (03:45)/The Loner (03:29)/This Is The Time Of The Year (03:33)/Big Tree Blue See (06:12)/The Wall Of Dolls (03:33)/Back Home (03:51)/See See (03:12)/I'm Going To Send My Pigeons To The Sky (05:59)/As Long As The Wind Blows (05:17,https://i.scdn.co/image/ab67616d00001e0262ecc83bcace1850b221c812,Nederpop/Classic Rock,Golden Earring,105.0
King Gizzard & The Lizard Wizard,Flying Microtonal Banana,Flying Microtonal Banana,Album,2017-02-24,Rattlesnake (07:48)/Melting (05:27)/Open Water (07:13)/Sleep Drifter (04:44)/Billabong Valley (03:34)/Anoxia (03:04)/Doom City (03:14)/Nuclear Fusion (04:15)/Flying Microtonal Banana (02:34,https://i.scdn.co/image/ab67616d00001e02b81164c7e6681a6cbd15018d,Psychedelic Rock/Neo-psychedelic/Acid Rock,King Gizzard & The Lizard Wizard,158.0
Museo Rosenbach,Zarathustra- Superuomo,Zarathustra,Single,1973-09-07,Zarathustra- L'ultimo Uomo (03:57)/Zarathustra- Il Re Di Ieri (04:39)/Zarathustra- Al Di La Del Bene E (02:41)/Zarathustra- Superuomo (06:30)/Zarathustra- Il Tempio Delle Cles (02:51,https://i.scdn.co/image/ab67616d00001e02627d9931a82fee12bfb6ce72,Progressive Rock/Art Rock/Symphonic Rock/Krautrock,Museo Rosenbach,111.0
Franco Battiato,Anafase,Fetus,Album,1972-11-23,Fetus (02:39)/Una cellula (02:55)/Cariocinesi (01:59)/Energia (04:31)/Fenomenologia (03:51)/Meccanica (06:11)/Anafase (05:36)/Mutazione (02:58,https://i.scdn.co/image/ab67616d00001e02af3fcbbf0db60ffcc8e625e6,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",110.0
Pink Floyd,Bike - 1996 Remastered Version,Relics (1996 Remastered Version),Compilation,1971-05-14,Arnold Layne - 1996 Remastered Version (02:56)/Interstellar Overdrive - 1996 Remastered Version (09:42)/See Emily Play - 1996 Remastered Version (02:53)/Remember A Day - 1996 Remastered Version (04:29)/Paintbox - 1996 Remastered Version (03:33)/Julia Dream - 1996 Remastered Version (02:36)/Careful With That Axe Eugene - 1996 Remastered Version (05:44)/Cirrus Minor - 1996 Remastered Version (05:18)/The Nile Song - 1996 Remastered Version (03:25)/Biding My Time - 1996 Remastered Version (05:18)/Bike - 1996 Remastered Version (03:22,https://i.scdn.co/image/ab67616d00001e02b0ac1b04fefa88ceb77f3c39,Progressive Rock/Psychedelic Rock/Classic Rock/Symphonic Rock/Art Rock/Rock,Pink Floyd,498.0
Korekyojinn,Vanishing Point,Tundra,Album,2011-08-09,Swan Dive (08:11)/Tundra (06:37)/Upstream (04:56)/Vanishing Point (06:08)/Watershed (07:47)/Xenon (07:37)/Yellow Jacket (04:34)/Zebra Crossing (01:54)/Abandoned (06:53,https://i.scdn.co/image/ab67616d00001e020355d7334bbfd51056eb5f90,Avant-garde/Math Rock/Krautrock/Progressive Rock,Korekyojinn,50.0
The Rolling Stones,Honest I Do,The Rolling Stones,Album,1964-04-16,Route 66 (02:20)/I Just Want To Make Love To You - Mono Version (02:17)/Honest I Do (02:09)/Mona (I Need You Baby) (03:34)/Now I've Got A Witness (02:31)/Little By Little - Mono Version (02:39)/I'm A King Bee (02:36)/Carol (02:34)/Tell Me (04:05)/Can I Get A Witness (02:56)/You Can Make It If You Try (02:01)/Walking The Dog (03:09,https://i.scdn.co/image/ab67616d00001e02e5bd9c16543752620815ebdc,Classic Rock/Rock,"Rolling Stones, The",72.0
Big Big Train,The First Rebreather,English Electric (Part One),Album,2012-09-03,The First Rebreather (08:32)/Uncle Jack (03:48)/Winchester from St Giles' Hill (07:16)/Judas Unrepentant (07:17)/Summoned By Bells (09:17)/Upton Heath (05:39)/A Boy in Darkness (08:03)/Hedgerow (08:52,https://i.scdn.co/image/ab67616d00001e025d0b195ea79d5a2f2904b9a9,Progressive Rock/Progressive Metal/Art Rock,Big Big Train,0.0
La coscienza di Zeno,Colofonia,La Coscienza di Zeno,Album,2018-11-13,"Cronovisione (07:36)/Gatto Lupesco (07:23)/Nei Cerchi Del Legno (I. Pinocchio, Ii, V.i.t.r.i.o.l., Iii. L'eterna Spirale Del Destino, Iv. Radici Di Una Coscienza) (13:09)/Il Fattore Precipitante (07:00)/Il Basilisco (06:19)/Un Insolito Baratto Alchemico (07:11)/Acustica Felina (09:37)/Colofonia (08:54)/09 Il Paradiso Degli Altri (09:56)/Homeworld (The Ladder) (09:33",https://i.scdn.co/image/ab67616d00001e02d84f61c669b14f19eb058b62,Progressive Rock,"Coscienza di Zeno, la",286.0
